Transaction_ID,Customer_ID,Date,Time,Store_ID,Store_Name,Product_ID,Product_Name,Category,Price,Quantity,Total Amount,Sex,Join_Date,Date_of_Birth
T-22801,2495,2022-01-01,14:07:56,S-100,中野店,P-007,酒G,アルコール,1321,3,3963,Men,2023-12-15,1970-08-01
T-29519,534,2022-01-01,13:44:34,S-100,中野店,P-005,酒E,アルコール,711,2,1422,Women,2022-08-22,1990-02-26
T-26676,9463,2022-01-01,12:32:45,S-100,中野店,P-003,酒C,アルコール,454,2,908,Women,2022-12-22,1990-03-02
T-25418,252,2022-01-01,13:16:15,S-100,中野店,P-003,酒C,アルコール,1178,4,4712,Men,2022-08-23,1990-10-21
T-17846,1747,2022-01-01,11:43:48,S-100,中野店,P-013,酒M,アルコール,1841,4,7364,Women,2023-05-21,1980-11-14
T-946,6479,2022-01-01,19:46:35,S-100,中野店,P-002,酒B,アルコール,795,1,795,Men,2023-10-02,1980-04-05
T-20360,8535,2022-01-01,13:21:10,S-100,中野店,P-006,酒F,アルコール,442,3,1326,Men,2022-10-25,2000-03-11
T-2455,6022,2022-01-01,13:27:15,S-100,中野店,P-020,酒T,アルコール,1177,4,4708,Women,2022-09-23,1990-01-18
T-20523,4355,2022-01-01,15:14:06,S-100,中野店,P-016,酒P,アルコール,1101,3,3303,Women,2022-10-20,1990-12-10
T-2830,4376,2022-01-01,17:02:07,S-100,中野店,P-005,酒E,アルコール,1972,1,1972,Men,2023-01-17,1990-08-26
T-19177,1325,2022-01-01,19:34:36,S-100,中野店,P-011,酒K,アルコール,1679,3,5037,Women,2022-05-19,1990-08-12
T-27206,9311,2022-01-01,14:42:32,S-100,中野店,P-002,酒B,アルコール,1481,2,2962,Men,2022-09-28,1990-04-15
T-13176,1818,2022-01-01,13:23:30,S-100,中野店,P-004,酒D,アルコール,1457,5,7285,Men,2022-03-28,1980-07-22
T-28719,4376,2022-01-01,13:49:28,S-100,中野店,P-002,酒B,アルコール,487,1,487,Women,2022-09-02,1980-03-07
T-5152,4175,2022-01-01,16:52:44,S-100,中野店,P-009,酒I,アルコール,1104,1,1104,Men,2022-01-08,1980-02-11
T-5706,3768,2022-01-01,20:17:25,S-100,中野店,P-003,酒C,アルコール,146,5,730,Women,2022-04-05,1990-09-01
T-7095,392,2022-01-01,13:09:44,S-100,中野店,P-012,酒L,アルコール,1333,2,2666,Women,2022-12-28,1990-08-02
T-4552,7758,2022-01-01,14:18:45,S-100,中野店,P-003,酒C,アルコール,1911,2,3822,Men,2022-08-11,1990-02-19
T-1117,9349,2022-01-01,15:04:38,S-100,中野店,P-019,酒S,アルコール,1336,5,6680,Women,2022-04-06,1990-10-05
T-23220,151,2022-01-01,13:30:24,S-100,中野店,P-024,酒X,アルコール,862,1,862,Men,2022-09-07,1980-01-23
T-28393,7274,2022-01-01,11:10:49,S-100,中野店,P-005,酒E,アルコール,1612,1,1612,Men,2023-10-17,1990-02-03
T-3809,3884,2022-01-01,14:59:25,S-100,中野店,P-013,酒M,アルコール,1083,5,5415,Women,2022-12-14,1990-04-15
T-22346,1871,2022-01-01,13:01:27,S-100,中野店,P-021,酒U,アルコール,884,4,3536,Women,2022-10-23,1990-01-05
T-12199,3272,2022-01-01,12:00:02,S-100,中野店,P-010,酒J,アルコール,1381,1,1381,Men,2022-04-20,1990-10-15
T-2733,4718,2022-01-01,12:47:13,S-100,中野店,P-018,酒R,アルコール,1397,4,5588,Women,2022-01-23,1990-12-16
T-5476,9292,2022-01-01,17:07:22,S-100,中野店,P-002,酒B,アルコール,261,1,261,Women,2022-01-20,1990-07-09
T-17960,1418,2022-01-01,12:50:57,S-100,中野店,P-004,酒D,アルコール,1502,4,6008,Women,2022-04-05,1980-07-14
T-4160,6570,2022-01-01,20:42:30,S-100,中野店,P-014,酒N,アルコール,860,3,2580,Women,2022-08-13,1990-08-07
T-9469,4577,2022-01-01,13:07:37,S-100,中野店,P-023,酒W,アルコール,1117,5,5585,Men,2022-11-26,1980-11-11
T-20706,2412,2022-01-02,20:31:20,S-100,中野店,P-002,酒B,アルコール,1365,5,6825,Women,2022-03-04,1990-01-25
T-19889,5462,2022-01-02,14:36:08,S-100,中野店,P-021,酒U,アルコール,874,2,1748,Women,2023-06-14,1990-04-17
T-11112,9772,2022-01-02,16:00:12,S-100,中野店,P-012,酒L,アルコール,975,2,1950,Women,2022-06-15,1980-01-22
T-4881,2565,2022-01-02,15:32:58,S-100,中野店,P-021,酒U,アルコール,134,2,268,Men,2022-05-23,1990-10-27
T-23094,4709,2022-01-02,19:23:28,S-100,中野店,P-021,酒U,アルコール,869,3,2607,Women,2022-08-05,2000-12-14
T-15751,9094,2022-01-02,14:56:26,S-100,中野店,P-010,酒J,アルコール,1550,1,1550,Men,2022-02-21,1980-02-26
T-21367,9089,2022-01-02,11:59:15,S-100,中野店,P-008,酒H,アルコール,1494,3,4482,Women,2022-03-01,1990-04-07
T-22049,2745,2022-01-02,19:38:41,S-100,中野店,P-002,酒B,アルコール,949,3,2847,Women,2022-04-08,1980-11-05
T-28017,6723,2022-01-02,15:26:17,S-100,中野店,P-015,酒O,アルコール,358,3,1074,Women,2022-02-24,2000-11-10
T-15201,6351,2022-01-02,12:54:34,S-100,中野店,P-006,酒F,アルコール,984,5,4920,Men,2022-12-03,1990-05-18
T-14297,194,2022-01-02,17:26:02,S-100,中野店,P-007,酒G,アルコール,170,1,170,Men,2022-03-18,1980-09-28
T-11683,475,2022-01-02,16:12:37,S-100,中野店,P-006,酒F,アルコール,1528,1,1528,Women,2022-06-11,2000-12-20
T-29806,5606,2022-01-02,20:19:15,S-100,中野店,P-013,酒M,アルコール,601,3,1803,Women,2023-07-10,1990-02-13
T-22738,5884,2022-01-02,19:32:07,S-100,中野店,P-006,酒F,アルコール,1293,2,2586,Men,2022-08-12,1980-11-06
T-29346,766,2022-01-02,17:57:43,S-100,中野店,P-016,酒P,アルコール,1299,3,3897,Men,2022-10-11,1990-06-03
T-13472,3441,2022-01-02,13:20:58,S-100,中野店,P-017,酒Q,アルコール,393,3,1179,Women,2023-10-02,1990-08-18
T-27356,5276,2022-01-02,20:01:25,S-100,中野店,P-023,酒W,アルコール,302,3,906,Women,2022-05-06,1970-08-05
T-22070,1901,2022-01-02,11:33:35,S-100,中野店,P-023,酒W,アルコール,1999,2,3998,Men,2022-11-23,1990-11-14
T-6505,4624,2022-01-02,20:58:57,S-100,中野店,P-013,酒M,アルコール,135,1,135,Men,2022-01-25,2000-02-19
T-24398,2005,2022-01-02,14:58:51,S-100,中野店,P-004,酒D,アルコール,750,5,3750,Men,2022-07-18,1990-10-07
T-21340,6141,2022-01-02,13:32:08,S-100,中野店,P-006,酒F,アルコール,816,3,2448,Women,2022-09-11,1980-06-13
T-12870,695,2022-01-02,16:00:24,S-100,中野店,P-011,酒K,アルコール,1677,3,5031,Women,2023-02-13,1980-11-01
T-13247,292,2022-01-02,19:49:58,S-100,中野店,P-019,酒S,アルコール,1152,5,5760,Men,2023-08-12,1990-10-01
T-14282,9289,2022-01-02,13:47:45,S-100,中野店,P-022,酒V,アルコール,1534,3,4602,Women,2022-08-11,1970-02-01
T-18709,4550,2022-01-02,14:58:48,S-100,中野店,P-003,酒C,アルコール,1426,5,7130,Women,2022-07-13,1990-11-18
T-23949,4849,2022-01-02,12:50:46,S-100,中野店,P-023,酒W,アルコール,888,3,2664,Men,2022-02-22,1990-06-20
T-27810,1965,2022-01-02,14:32:19,S-100,中野店,P-015,酒O,アルコール,710,3,2130,Women,2022-11-24,1990-11-15
T-22465,8102,2022-01-02,12:09:22,S-100,中野店,P-020,酒T,アルコール,686,3,2058,Women,2022-02-27,1990-02-16
T-16001,5424,2022-01-02,17:17:24,S-100,中野店,P-011,酒K,アルコール,1109,1,1109,Men,2023-04-14,1990-05-12
T-4071,5585,2022-01-02,13:49:03,S-100,中野店,P-009,酒I,アルコール,1396,5,6980,Men,2022-12-26,1970-10-09
T-1317,6004,2022-01-02,12:12:22,S-100,中野店,P-012,酒L,アルコール,1588,3,4764,Women,2023-04-21,1990-01-09
T-25798,3060,2022-01-02,14:07:14,S-100,中野店,P-015,酒O,アルコール,1096,5,5480,Men,2022-08-23,1980-03-10
T-24355,4914,2022-01-02,16:17:16,S-100,中野店,P-012,酒L,アルコール,1664,4,6656,Men,2022-05-05,1990-04-21
T-29832,3682,2022-01-02,14:37:48,S-100,中野店,P-023,酒W,アルコール,496,2,992,Women,2022-07-11,1990-09-17
T-19428,6600,2022-01-02,20:10:01,S-100,中野店,P-020,酒T,アルコール,1991,5,9955,Men,2022-09-09,1990-10-15
T-1804,4322,2022-01-02,15:15:31,S-100,中野店,P-023,酒W,アルコール,1876,4,7504,Men,2022-05-16,2000-01-22
T-12670,5337,2022-01-02,16:01:30,S-100,中野店,P-009,酒I,アルコール,823,3,2469,Women,2022-04-24,1970-12-18
T-5255,2916,2022-01-02,20:52:49,S-100,中野店,P-002,酒B,アルコール,1488,5,7440,Women,2022-01-15,1990-10-09
T-428,8508,2022-01-02,19:48:11,S-100,中野店,P-014,酒N,アルコール,494,5,2470,Men,2022-10-28,1990-07-04
T-20578,9060,2022-01-02,18:46:14,S-100,中野店,P-001,酒A,アルコール,1997,2,3994,Men,2022-09-12,2000-06-07
T-13654,9358,2022-01-02,13:09:59,S-100,中野店,P-012,酒L,アルコール,1650,3,4950,Women,2022-03-21,1990-12-01
T-29092,1385,2022-01-02,15:08:41,S-100,中野店,P-021,酒U,アルコール,1620,2,3240,Men,2022-07-09,1980-02-27
T-260,1627,2022-01-02,18:27:06,S-100,中野店,P-005,酒E,アルコール,1721,5,8605,Women,2022-01-01,1990-07-07
T-11516,7598,2022-01-02,18:54:12,S-100,中野店,P-019,酒S,アルコール,1524,1,1524,Men,2022-03-01,1980-03-02
T-22397,6255,2022-01-02,14:59:02,S-100,中野店,P-023,酒W,アルコール,1099,3,3297,Men,2022-11-19,1980-08-23
T-9509,2972,2022-01-02,19:57:16,S-100,中野店,P-013,酒M,アルコール,887,4,3548,Men,2022-12-20,1980-12-01
T-11710,753,2022-01-02,20:26:18,S-100,中野店,P-007,酒G,アルコール,1693,2,3386,Women,2022-08-17,1990-01-01
T-26803,6319,2022-01-02,17:53:50,S-100,中野店,P-011,酒K,アルコール,1757,5,8785,Women,2022-04-08,1990-10-07
T-27482,3595,2022-01-03,16:21:36,S-100,中野店,P-022,酒V,アルコール,371,4,1484,Women,2022-03-22,1990-03-24
T-10879,391,2022-01-03,11:01:27,S-100,中野店,P-014,酒N,アルコール,617,3,1851,Women,2022-02-23,1980-08-02
T-23728,1542,2022-01-03,19:01:54,S-100,中野店,P-019,酒S,アルコール,1056,4,4224,Women,2022-12-18,1980-04-13
T-22918,7331,2022-01-03,16:32:04,S-100,中野店,P-012,酒L,アルコール,990,2,1980,Women,2022-11-18,1990-08-14
T-18848,8889,2022-01-03,19:27:49,S-100,中野店,P-018,酒R,アルコール,957,3,2871,Men,2022-04-23,1980-03-09
T-3940,601,2022-01-03,18:23:21,S-100,中野店,P-015,酒O,アルコール,457,3,1371,Men,2023-10-06,1990-11-01
T-23574,2524,2022-01-03,18:02:20,S-100,中野店,P-004,酒D,アルコール,1366,2,2732,Men,2022-10-25,2000-11-26
T-8737,4019,2022-01-03,15:20:31,S-100,中野店,P-003,酒C,アルコール,1418,1,1418,Women,2022-01-19,1980-02-02
T-3686,722,2022-01-03,16:05:53,S-100,中野店,P-007,酒G,アルコール,507,2,1014,Women,2022-04-11,1990-06-09
T-3702,9479,2022-01-03,12:10:38,S-100,中野店,P-013,酒M,アルコール,371,4,1484,Men,2022-03-15,1990-05-25
T-21880,8440,2022-01-03,20:31:51,S-100,中野店,P-001,酒A,アルコール,1064,2,2128,Women,2022-10-18,1980-11-09
T-28441,4503,2022-01-03,11:15:35,S-100,中野店,P-005,酒E,アルコール,170,2,340,Women,2022-01-02,1990-04-25
T-16258,1752,2022-01-03,15:26:39,S-100,中野店,P-009,酒I,アルコール,460,3,1380,Men,2022-08-15,1980-02-06
T-18314,438,2022-01-03,17:28:20,S-100,中野店,P-018,酒R,アルコール,1157,5,5785,Men,2022-04-25,1980-11-10
T-15648,5554,2022-01-03,19:02:44,S-100,中野店,P-011,酒K,アルコール,1936,5,9680,Men,2022-10-13,1980-04-08
T-29974,2624,2022-01-03,19:32:51,S-100,中野店,P-021,酒U,アルコール,382,3,1146,Men,2022-02-01,2000-02-11
T-24061,7909,2022-01-03,17:02:43,S-100,中野店,P-012,酒L,アルコール,1134,3,3402,Men,2022-11-03,1990-11-27
T-14821,9151,2022-01-03,15:45:23,S-100,中野店,P-003,酒C,アルコール,1231,5,6155,Women,2023-07-12,1980-10-22
T-10654,2789,2022-01-03,13:51:28,S-100,中野店,P-016,酒P,アルコール,615,1,615,Men,2022-01-23,1990-04-17
T-9468,1445,2022-01-03,16:13:15,S-100,中野店,P-002,酒B,アルコール,1399,4,5596,Men,2022-09-07,1990-11-20
T-12487,1514,2022-01-03,12:13:43,S-100,中野店,P-018,酒R,アルコール,1434,4,5736,Men,2023-07-22,1990-02-14
T-20627,1408,2022-01-03,20:00:57,S-100,中野店,P-021,酒U,アルコール,1548,5,7740,Women,2022-09-12,1970-05-26
T-27842,2557,2022-01-03,12:37:00,S-100,中野店,P-020,酒T,アルコール,183,2,366,Men,2022-07-22,1980-08-23
T-21764,8373,2022-01-03,20:22:18,S-100,中野店,P-003,酒C,アルコール,1118,5,5590,Women,2022-12-23,1990-10-10
T-13934,7991,2022-01-03,13:28:15,S-100,中野店,P-022,酒V,アルコール,1563,3,4689,Women,2023-08-08,1990-11-12
T-16755,4531,2022-01-03,17:54:50,S-100,中野店,P-003,酒C,アルコール,420,1,420,Women,2022-07-03,1990-10-20
T-21097,6799,2022-01-03,16:24:59,S-100,中野店,P-018,酒R,アルコール,1485,2,2970,Men,2022-01-16,2000-08-20
T-17502,3380,2022-01-03,13:22:56,S-100,中野店,P-023,酒W,アルコール,1059,5,5295,Women,2022-11-13,2000-12-19
T-24903,4602,2022-01-03,16:15:24,S-100,中野店,P-007,酒G,アルコール,1554,2,3108,Women,2022-04-05,1990-06-10
T-7141,3909,2022-01-03,11:10:57,S-100,中野店,P-006,酒F,アルコール,1150,4,4600,Women,2023-02-06,1990-07-28
T-27179,2548,2022-01-03,14:42:46,S-100,中野店,P-017,酒Q,アルコール,1350,4,5400,Women,2023-10-12,2000-08-05
T-22940,7080,2022-01-03,15:23:07,S-100,中野店,P-003,酒C,アルコール,1921,1,1921,Men,2022-08-06,1990-12-28
T-18943,1449,2022-01-03,17:41:20,S-100,中野店,P-006,酒F,アルコール,1364,2,2728,Men,2022-06-19,2000-10-06
T-17791,3591,2022-01-03,14:26:44,S-100,中野店,P-012,酒L,アルコール,1366,3,4098,Men,2022-03-22,1990-03-04
T-20047,4686,2022-01-03,11:56:12,S-100,中野店,P-006,酒F,アルコール,1004,5,5020,Men,2022-09-28,1990-05-27
T-8167,1124,2022-01-04,14:23:50,S-100,中野店,P-020,酒T,アルコール,1506,1,1506,Women,2022-04-16,1980-05-09
T-10388,8894,2022-01-04,11:37:46,S-100,中野店,P-008,酒H,アルコール,1756,4,7024,Men,2022-10-26,1980-03-24
T-16050,1269,2022-01-04,14:07:41,S-100,中野店,P-006,酒F,アルコール,453,1,453,Men,2022-10-17,1990-08-01
T-23268,1997,2022-01-04,17:21:26,S-100,中野店,P-008,酒H,アルコール,1497,3,4491,Men,2022-07-13,1990-05-09
T-20482,7792,2022-01-04,18:17:45,S-100,中野店,P-007,酒G,アルコール,1414,4,5656,Women,2022-01-25,1990-05-15
T-26543,2955,2022-01-04,16:26:03,S-100,中野店,P-019,酒S,アルコール,313,2,626,Men,2022-11-10,1990-02-28
T-21534,2249,2022-01-04,11:29:41,S-100,中野店,P-007,酒G,アルコール,552,4,2208,Women,2022-08-20,1980-02-18
T-20571,7036,2022-01-04,17:45:16,S-100,中野店,P-002,酒B,アルコール,164,1,164,Women,2023-09-06,1980-06-13
T-3712,9037,2022-01-04,16:34:28,S-100,中野店,P-021,酒U,アルコール,1235,4,4940,Men,2022-02-05,1980-09-01
T-284,4058,2022-01-04,16:17:01,S-100,中野店,P-009,酒I,アルコール,877,5,4385,Men,2022-05-10,2000-03-23
T-21515,44,2022-01-04,15:46:59,S-100,中野店,P-022,酒V,アルコール,962,3,2886,Men,2022-07-26,2000-03-28
T-9782,7285,2022-01-04,11:14:47,S-100,中野店,P-004,酒D,アルコール,985,5,4925,Men,2022-04-26,1990-06-23
T-26275,1015,2022-01-04,17:19:12,S-100,中野店,P-010,酒J,アルコール,1669,2,3338,Women,2023-07-13,1990-02-26
T-23517,4160,2022-01-04,17:40:27,S-100,中野店,P-010,酒J,アルコール,1793,5,8965,Men,2022-08-05,1990-03-10
T-25203,4142,2022-01-04,18:26:27,S-100,中野店,P-004,酒D,アルコール,1904,3,5712,Women,2022-07-03,1990-03-14
T-13111,6568,2022-01-04,17:56:25,S-100,中野店,P-009,酒I,アルコール,1405,1,1405,Women,2022-03-18,1980-09-21
T-23288,1762,2022-01-04,19:47:44,S-100,中野店,P-014,酒N,アルコール,1439,1,1439,Women,2022-06-21,1990-01-01
T-27288,915,2022-01-04,17:26:35,S-100,中野店,P-023,酒W,アルコール,526,5,2630,Women,2023-01-20,1980-09-28
T-21782,2829,2022-01-04,14:14:58,S-100,中野店,P-010,酒J,アルコール,1492,4,5968,Women,2023-01-11,1990-01-09
T-5356,3307,2022-01-04,11:53:13,S-100,中野店,P-003,酒C,アルコール,1953,5,9765,Men,2023-12-11,2000-09-14
T-14304,2301,2022-01-04,11:03:21,S-100,中野店,P-003,酒C,アルコール,1223,3,3669,Women,2022-12-26,2000-08-27
T-17166,6248,2022-01-04,19:30:40,S-100,中野店,P-018,酒R,アルコール,1557,5,7785,Women,2022-12-27,1990-01-12
T-86,5757,2022-01-04,20:16:14,S-100,中野店,P-022,酒V,アルコール,202,5,1010,Women,2022-01-19,1990-07-04
T-27056,3626,2022-01-04,18:36:43,S-100,中野店,P-022,酒V,アルコール,1041,5,5205,Women,2022-08-17,1990-09-28
T-14306,9766,2022-01-04,13:23:17,S-100,中野店,P-015,酒O,アルコール,1107,2,2214,Women,2023-12-08,1990-10-05
T-21825,3590,2022-01-04,15:16:23,S-100,中野店,P-022,酒V,アルコール,677,1,677,Women,2022-01-05,1980-01-17
T-24850,7633,2022-01-04,16:57:40,S-100,中野店,P-010,酒J,アルコール,911,4,3644,Men,2022-06-25,1990-09-14
T-10909,3229,2022-01-04,15:36:24,S-100,中野店,P-014,酒N,アルコール,1507,2,3014,Women,2022-03-07,1990-12-22
T-9674,9419,2022-01-04,20:35:00,S-100,中野店,P-020,酒T,アルコール,1132,1,1132,Women,2023-01-12,1990-12-11
T-20070,8607,2022-01-04,11:49:49,S-100,中野店,P-012,酒L,アルコール,1836,1,1836,Men,2023-11-10,1990-01-05
T-23882,7738,2022-01-04,14:53:26,S-100,中野店,P-001,酒A,アルコール,482,5,2410,Men,2022-06-26,1990-07-13
T-8346,116,2022-01-04,16:27:23,S-100,中野店,P-001,酒A,アルコール,653,5,3265,Women,2022-12-06,1990-11-12
T-24950,5347,2022-01-04,20:09:09,S-100,中野店,P-017,酒Q,アルコール,672,4,2688,Women,2022-03-12,2000-10-03
T-28915,8225,2022-01-04,15:09:10,S-100,中野店,P-013,酒M,アルコール,1838,1,1838,Women,2022-12-03,1990-02-26
T-1868,4863,2022-01-04,17:20:42,S-100,中野店,P-004,酒D,アルコール,1177,1,1177,Men,2022-06-11,2000-06-11
T-24027,7061,2022-01-04,18:58:25,S-100,中野店,P-015,酒O,アルコール,336,2,672,Men,2022-08-17,1980-11-23
T-21881,7894,2022-01-04,15:49:04,S-100,中野店,P-003,酒C,アルコール,376,4,1504,Women,2023-11-07,1980-05-26
T-11810,8814,2022-01-04,15:44:53,S-100,中野店,P-005,酒E,アルコール,1006,3,3018,Men,2022-09-02,1980-09-26
T-25563,4592,2022-01-04,15:17:33,S-100,中野店,P-006,酒F,アルコール,999,2,1998,Men,2023-06-14,1980-04-14
T-5623,2985,2022-01-04,20:13:40,S-100,中野店,P-020,酒T,アルコール,882,1,882,Women,2022-12-03,1980-01-11
T-21750,2148,2022-01-04,13:44:40,S-100,中野店,P-014,酒N,アルコール,1770,1,1770,Women,2022-06-09,1980-03-03
T-16074,5986,2022-01-04,18:55:20,S-100,中野店,P-020,酒T,アルコール,1352,1,1352,Men,2022-04-21,1990-01-05
T-24126,1873,2022-01-04,12:33:37,S-100,中野店,P-003,酒C,アルコール,1327,4,5308,Women,2022-12-07,1990-08-23
T-4130,4219,2022-01-04,13:37:17,S-100,中野店,P-016,酒P,アルコール,1462,5,7310,Men,2022-10-19,1980-10-19
T-16694,5575,2022-01-04,19:50:15,S-100,中野店,P-007,酒G,アルコール,1000,5,5000,Women,2022-12-25,1980-06-08
T-24077,8167,2022-01-04,12:15:57,S-100,中野店,P-022,酒V,アルコール,219,2,438,Men,2023-04-06,1980-09-11
T-9543,8184,2022-01-04,17:48:35,S-100,中野店,P-023,酒W,アルコール,1454,4,5816,Men,2023-02-15,1990-01-13
T-28035,8452,2022-01-05,15:08:36,S-100,中野店,P-013,酒M,アルコール,454,5,2270,Men,2022-10-18,1970-11-17
T-28098,399,2022-01-05,11:48:21,S-100,中野店,P-010,酒J,アルコール,1845,5,9225,Men,2022-08-05,1990-04-03
T-23938,4627,2022-01-05,12:03:05,S-100,中野店,P-005,酒E,アルコール,563,2,1126,Women,2022-08-11,1990-07-05
T-11529,6082,2022-01-05,16:01:21,S-100,中野店,P-021,酒U,アルコール,697,3,2091,Men,2022-09-03,1970-12-15
T-5465,7023,2022-01-05,12:17:29,S-100,中野店,P-019,酒S,アルコール,137,1,137,Men,2023-02-16,1990-01-06
T-24482,1570,2022-01-05,15:17:42,S-100,中野店,P-021,酒U,アルコール,122,2,244,Men,2023-06-25,1980-12-15
T-21948,5306,2022-01-05,13:25:08,S-100,中野店,P-006,酒F,アルコール,1041,1,1041,Men,2022-01-07,1990-09-04
T-24169,1569,2022-01-05,13:58:14,S-100,中野店,P-009,酒I,アルコール,1439,1,1439,Women,2022-03-01,1990-11-26
T-12502,5963,2022-01-05,16:22:55,S-100,中野店,P-005,酒E,アルコール,1220,5,6100,Men,2022-07-09,1990-03-16
T-21990,5210,2022-01-05,18:18:57,S-100,中野店,P-013,酒M,アルコール,1527,5,7635,Women,2022-10-19,1990-12-21
T-19229,4152,2022-01-05,17:56:58,S-100,中野店,P-013,酒M,アルコール,1945,5,9725,Men,2023-02-19,1990-09-27
T-7907,3080,2022-01-05,12:40:19,S-100,中野店,P-002,酒B,アルコール,1139,2,2278,Women,2023-08-12,1980-09-14
T-6682,2837,2022-01-05,13:52:29,S-100,中野店,P-009,酒I,アルコール,1987,1,1987,Men,2023-12-02,1990-03-23
T-25615,365,2022-01-05,17:56:31,S-100,中野店,P-008,酒H,アルコール,804,5,4020,Women,2022-09-27,1980-08-11
T-691,1578,2022-01-05,14:30:20,S-100,中野店,P-023,酒W,アルコール,1010,4,4040,Women,2022-01-16,1990-05-03
T-12652,9048,2022-01-05,15:47:56,S-100,中野店,P-002,酒B,アルコール,1596,1,1596,Men,2022-01-03,1990-05-05
T-29105,6253,2022-01-05,11:21:56,S-100,中野店,P-024,酒X,アルコール,1160,2,2320,Men,2022-01-03,1970-11-07
T-29696,204,2022-01-05,15:02:02,S-100,中野店,P-023,酒W,アルコール,632,1,632,Men,2023-04-20,1990-12-23
T-8464,2508,2022-01-05,15:24:22,S-100,中野店,P-003,酒C,アルコール,998,2,1996,Men,2022-06-08,1980-06-07
T-11633,253,2022-01-05,20:23:39,S-100,中野店,P-006,酒F,アルコール,1618,2,3236,Women,2022-11-21,1990-03-06
T-57,8247,2022-01-05,12:38:10,S-100,中野店,P-017,酒Q,アルコール,522,3,1566,Men,2022-07-07,1990-08-17
T-27540,7148,2022-01-05,17:38:11,S-100,中野店,P-014,酒N,アルコール,1608,4,6432,Women,2022-03-13,1980-07-21
T-6104,1348,2022-01-05,20:23:09,S-100,中野店,P-011,酒K,アルコール,1268,4,5072,Men,2022-08-01,1980-07-04
T-23660,3659,2022-01-05,20:03:27,S-100,中野店,P-007,酒G,アルコール,159,5,795,Women,2023-12-23,1990-12-06
T-27413,4823,2022-01-05,16:49:47,S-100,中野店,P-024,酒X,アルコール,898,2,1796,Men,2023-01-04,1980-08-13
T-1706,1960,2022-01-05,19:07:53,S-100,中野店,P-021,酒U,アルコール,707,2,1414,Men,2022-05-14,1990-10-21
T-18879,2450,2022-01-05,19:54:00,S-100,中野店,P-004,酒D,アルコール,102,2,204,Men,2022-07-11,1990-02-22
T-27360,6315,2022-01-05,15:45:41,S-100,中野店,P-021,酒U,アルコール,1559,4,6236,Women,2022-08-12,2000-04-16
T-1682,6871,2022-01-05,16:30:22,S-100,中野店,P-014,酒N,アルコール,543,5,2715,Women,2023-04-17,1990-03-07
T-28587,4990,2022-01-05,13:25:50,S-100,中野店,P-020,酒T,アルコール,644,1,644,Women,2022-10-22,1990-07-20
